№ п/п,№ ведомости прошедшего года,Время вступления,Содержание дел,За чем остаются нерешенными
129,123,1856 1 марта,"62/56 О недостатке хлеба, оказавшегося у чиновника Поповского при сдаче им такового в туруханском складочном магазине.","За неполучением от Каменского земского суда надлежащих сведений, затребованных указом от 18 мая 1863 г. за № 1766, о скорейшем доставлении которых подтверждено земскому суду 24 сентября, 15 ноября и 14 декабря т. г. за № 4079, 4653 и 5098."
130,124,,"67/56 О злоупотребительных действиях смотрителя дудинского участка, казака Алексея Яроцкого.","За неполучением от енисейского окружного начальника сведений, затребованных указом Губернского правления от 13 августа 1863 г. за № 3403, о скорейшем доставлении которых ему повторено 15 ноября и 24 декабря т. г. за № 4660 и 5266."
131,128,12 июля,"186/56 О перечислении из Туруханского края в Енисейский округ крестьянки Тукареевой и о числящейся на ней хлебной недоимке.","За неполучением от енисейского окружного начальника надлежащих сведений, затребованных указом Губернского правления от 7 августа 1863 г. за № 3034, о скорейшем доставлении которых ему подтверждено 24 августа, 5 сентября и 4 декабря того же года за № 3667, 3787 и 4942."
