№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
117,109,1850 17 мая,"78/50 Об определении урядника Дмитрия Саламонова смотрителем Верхнеинбатского складочного магазина по противозаконным поступкам урядника Мутовкина."
118,110,1858 3 марта,"49/52 О продаже вещей, описанных у должников на пополнение казенной хлебной недоимки."
119,111,29 апреля,"72/52 О хлебной недоимке, числящейся за разными лицами по мироединскому и костинскому запасным магазинам."
