№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
1,2,1852 6 ноября,"Об исполнении судебных решений. О крестьянине из поселенцев Василии Кирьянове, осужденном за неисправную доставку провианта и фуража в Красноярский провиантский магазин и растрату казенного хлеба, принадлежащего Каменскому винокуренному заводу."
2,3,"1854 2 января 1847 24 октября","О неправильном засвидетельствовании бывшими волостными старостою Темеровым (***) и писарем Сычевым ручательного одобрения, данного крестьянину Похабову на вступление в подряд для поставки хлеба на сумму 12 000 руб. сереб."
