№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
141,139,1857 18 ноября,"265/57 По предмету продажи пришедших в негодность 2029 мешков в Туруханске."
142,140,1858 13 февраля,"46/58 О хлебной недоимке, числящейся на крестьянке Дарье Авериной."
143,141,6 марта,"70/58 О хлебной недоимке, числящейся на остяке Семене Кунякове по усть-курейскому магазину Туруханского края."
