№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
120,112,"1853 9 августа","56/53 О хлебной недоимке, числящейся на умершем князе Андрееве по тазовскому магазину."
121,113,"1858 4 июля","109/53 О перечислении из Туруханского края в Енисейский округ поселенца Селезнева и о числящейся на нем и поселенце Мигунове хлебной недоимке."
122,114,"— “ —","108/53 О хлебной недоимке, числящейся на поселенце из духоборцев Гоголеве."
