№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
167,167,1856 16 мая,"По 4-му отделению По предложению г. енисейского гражданского губернатора от 14 мая 1839 г. за № 2183 об устройстве в Минусинском округе колоний из 400 человек поселенцев."
168,182,1855 19 марта,"По прошению ссыльного Федула Трофимова о следующих ему деньгах."
169,188,1856 29 февраля,"По предложению господина начальника Енисейской губернии от 27 февраля 1856 г. № 911 о переселении поселенца Василия Кожевина, из Ужурской волости, в отдаленную волость Енисейского округа и о распределении сужденных губернским судом поселенцев Ужурской волости Клима Заболотного, Степана Петрова и Степана Пелипчука."
