№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
156,“,"1860 23 июня","95/60 Об испрашивании разрешения на выдачу из казенных запасных магазинов Туруханского края хлеба бедным жителям."
157,“,3 августа,"117/60 О хлебной недоимке, числящейся на крестьянине Лузинского Станка Минае Копысове по Туруханскому краю."
158,“,18,"126/60 О растрате вахтерами вороговского казенного магазина Семеновым и Бутусиным хлеба."
