№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
12,“ ,1860 9 июня,"Об устройстве в городах Енисейской губернии общественных пожарных команд."
13,“ ,— 30 июня,"О похищении из ящика Шушенского волостного правления денег 742 руб. 13 1/4 коп. сер."
14,“ ,— 11 августа,"О растрате мещанином Григорием Ивановым Чередовым денег 125 руб., вверенных ему управляющим Ко Асташева и Яковлева мещанином Шубиным."
