№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
3,4,1854 1 февраля,"Об убийстве денщика капитана Аверьянова, Емельяна Пуртова, и о прикосновенности к сему делу мещанки Мейровичевой."
4,6,— 29 декабря,"О недостатке денежных бумаг у бывшего заседателя Ачинского окружного суда, коллежского асессора Тарасова."
5,7,1855 7 марта,"О фальшивой доверенности, представленной к торгам казенными подрядчиками Журавлевым и Осетровым, на поставку в Каменский винокуренный завод и в сельские магазины хлеба."
