№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
39,Из Оренбургских линейных батальонов № 9 Рядовой Петр Петров Симушкин,В городе Минусинске,Крестьянскими работами
40,Из Кавказского линейного батальона № 7 Рядовой Иван Васильев Дружинин,В городе Минусинске,Сапожным мастерством
41,Из линейных батальонов Восточной Сибири № 2 Унтер-офицер Артамон Егоров Калков,В городе Минусинске,Сапожным мастерством
42,"Из линейных батальонов Восточной Сибири № 2 Рядовые Абдул, а по Св. Крещению Гаврило Губаев Губаев",В городе Минусинске,Хлебопашеством
43,Из линейных батальонов Восточной Сибири № 2 Рядовые Мартын Иванов Куваршин,В городе Минусинске,Хлебопашеством
44,Из Оренбургских линейных батальонов № 2 Рядовой Филип Алексеев Халевин,В городе Минусинске,Хлебопашеством
45,Из Оренбургских линейных батальонов № 10 Рядовой Семен Федоров Широков,В городе Минусинске,Хлебопашеством
