№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
11,94,1849 7 ноября,"2-й стол По прошению канского 2-й гильдии купца Федора Королькова о положенных с канского купеческого сына Анания Каминера денег."
102,95,1856 10 января,"По прошению доверенного купца Хотова, крестьянина Агафонова о взыскании с мещанина Павлова денег."
103,95,6 октября,"По прошению доверенного купца Хотова, крестьянина Агафонова о взыскании с Томского мещанина Кадина денег."
104,97,1858 28 февраля,"По прошению купца Петра Никифорова, мещанина Капцева и проч. об упущенных ачинской полиции в взыскании с купца Поликарпа Анциферова денег."
105,97,1859 4 мая,"По рапорту Красноярской общей городовой управы о взыскании с жены минусинского купеческого сына Андрея Курочкина денег."
