№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
115,107,1849 12 сентября,"115/49 Об обеспечении казенного взыскания по покупке в 1848 г. хлеба в Томской губернии чиновниками Скрябиновым и Кисловским."
116,108,1850 27 марта,"52/50 О хлебной недоимке, числящейся на крестьянине Шалунцове и поселенце Харламове по Туруханскому краю."
