№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
15,“ ,1860 10 ноября,"О поручике Петре Андрееве, судимом за растрату гербовой бумаги в Енисейской губернской типографии."
16,“ ,— 25 ноября,"О незаконных действиях бывших членов Ачинской городовой ратуши по расходованию хлебного капитала."
