№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
159,“,"1860 10 ноября","157/60 О назначении казака Федора Толстых вахтером к назимовскому магазину вместо казака Масленникова."
160,“,26,"149/60 О заготовлении инструментов для уравнения улиц и площадей города Минусинска."
161,“,18 декабря,"197/60 О заготовлении и доставке в Туруханский край конопли 470 пуд."
