№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
245,№ 11 Рядовой Яков Ефремов Таскин,Балахтинской волости в д. Сургуцкой,Крестьянскими работами
246,Из внутренних гарнизонных батальонов Вятского Рядовой Прохор Евдокимов Колегов,Балахтинской волости в д. Даурской,Крестьянскими работами
247,Из внутренних гарнизонных батальонов Енисейского Рядовые Исай Убимов,Назаровской волости в д. Тойлукской,Крестьянскими работами
248,Из внутренних гарнизонных батальонов Енисейского Федор Емельянов Сидоров,Черноречинской волости в д. Курбатовой,Крестьянскими работами
249,Из внутренних гарнизонных батальонов Иркутского Рядовой: Прокопий Никитин Фомин,Назаровской волости в д. Алтатской,Крестьянскими работами
250,Из Билимбаевской инвалидной команды Рядовой: Евдоким Евдокимов Печенкин,Балахтинской волости в с. Курбатовском,Крестьянскими работами
