№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
162,157,1843 4 августа,"2-й список 23/48 О взыскании денег с неисправных подрядчиков в Каменский винокуренный завод хлеба крестьянам Красноярского округа."
123,168,1850 12 июня,"179/60 О взыскании с коллежского асессора Ермакова прогонных денег и полугодового оклада жалованья."
