№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
154,“,"1860 14 января","16/60 О неспособности к работам остяков Нижнеинбатской управы Василич, Николая и Филипа Дивиковых и о числящейся на них хлебной недоимке по Туруханскому краю."
155,“,2 июня,"87/60 О хлебной недоимке, числящейся на поселенце Петре Подзолкине по Туруханскому краю."
