№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
31,Из Оренбургских линейных батальонов № 9 Рядовые Лаврентий Егоров Бурмакин,В городе Ачинске,В присутственных местах и у частных лиц
32,Из Оренбургских линейных батальонов № 9 Рядовые Михайло Петров Бурмакин,В городе Ачинске,В присутственных местах и у частных лиц
33,Из Оренбургских линейных батальонов № 9 Рядовые Константин Ермолаев Карышев,В городе Ачинске,В присутственных местах и у частных лиц
34,Из Оренбургских линейных батальонов № 4 Рядовой Иван Семенов Рахманов,В городе Ачинске,В присутственных местах и у частных лиц
35,Из линейных батальонов Восточной Сибири № 2 Рядовой Андрей Иванов Мурашев,В городе Ачинске,Крестьянскими работами
36,Из линейных батальонов Восточной Сибири № 5 Рядовые Павел Андреев Гнездин,В городе Ачинске,Крестьянскими работами
37,Из линейных батальонов Восточной Сибири № 5 Рядовые Матвей Дмитриев Альков,В городе Ачинске,Столярной и плотничной работой
38,Из Оренбургских линейных батальонов № 2 Рядовой Дмитрий Данилов Сиротинин,В городе Ачинске,Крестьянскими работами
