№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
53,Иван Федоров Матонин,Еловской волости в с. Кекурском,Крестьянскими работами
54,Федор Харитонов Орешников,Заледеевской волости в д. Емельяновой,Крестьянскими работами
55,Малофей Петров Иванов,Ладейской волости в д. Терентьевой,Хлебопашеством
56,№ 5 Унтер-офицер Иван Семенов Малахов,В д. Юдиной,Хлебопашеством
57,Рядовые Семен Марков Шимохин,Погорельской волости в д. Таскиной,Крестьянскими работами
58,Онуфрий Акимов Андронов,Сухобузимской волости в д. Воробиной,Крестьянскими работами
59,Василий Трофимов Коновалов,Ладейской волости в д. Кускунской,Крестьянскими работами
60,№ 6 Рядовой Николай Андреев Внуков,Заледеевской волости в Мининской станице,Хлебопашеством
