№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
144,144,1858 19 июля,"158/58 О произведенном енисейским окружным начальником обозрении Туруханского края."
145,145,14 августа,"196/58 Об нетребовании от батальонного командира Енисейского внутреннего гарнизонного батальона сведения об отпуске провианта в пожарные команды."
146,147,18 сентября,"219/58 Об избавлении поселенческой жены Тихомировой от платного штрафа, наложенного Ачинскою городовой ратушею за употребление с мужем при торговле неклейменого коромысла."
147,150,20 декабря,"290/58 О возобновлении казенных хлебных магазинов: Вороговского, Ярцевского и Назимовского."
