№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
9,№ 14 Тимофей Макаров Посришвалов,,Портным мастерством
10,Из Оренбургских батальонов № 1 Унтер-офицер Леонтий Игнатьев Иванов,В городе Енисейске,Хозяйством
11,Из Оренбургских батальонов № 3 Рядовой Семен Малентьев Белянин,В городе Енисейске,Домашними работами
12,Из Оренбургских батальонов № 6 Унтер-офицер Дмитрий Михайлов Гаврилов,В городе Енисейске,Письмоводством по найму
13,Из Оренбургских батальонов № 8 Рядовой Анатолий Андреев Бирюков,В городе Енисейске,Сапожным мастерством
14,Из Оренбургских батальонов № 11 Унтер-офицер Дмитрий Федоров Коен,В городе Енисейске,Домашними работами
15,Из Оренбургских батальонов Рядовой Зельман Абрамов Славин,В городе Енисейске,Портным мастерством
16,Из Сибирских линейных батальонов № 1 Рядовой Яким Абромов Фитин,В городе Енисейске,Портным мастерством
