№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
132,129,1856 20 июля,"193/56 О хлебной недоимке, числящейся на поселенце Туруханского края Ложкине."
133,130,25,"201/56 О хлебной недоимке, числящейся на туруханских казаках и их чинах."
134,131,10 сентября,"227/56 О растрате хлеба казаком Лалетиным по усть-курейскому запасному магазину и отделам."
