№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
99,14,1850 11 марта,О долгах золотопромышленника Канского 2-й гильдии купца Гаврила Машарова.
100,14,1860 26 марта,О продаже приисков действительного Никифора Бекетова.
