№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
112,102,1846 3 января,"6/46 О продаже имения, описанного у бывшего пристава устьинского магазина Нифантьева за неоказавшийся хлеб."
113,105,1847 31 июля,"67/47 О незаконной продаже рухляди бывшим туруханским отдельным заседателем Яковицким."
114,106,9 декабря,"106/47 О противозаконных поступках бывшего помощника туруханского отдельного заседателя Глевочанского, (***) описи имения умершего заседателя Сапожникова."
