№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
135,132,1856 16 октября,"256/56 О семи экземплярах весов и гирь, оставшихся без употребления за упразднением некоторых хлебных казенных магазинов."
136,133,9 ноября,"278/56 О растрате денег и звериных шкур казаком Перепрыгиным по Верхнеинбатскому участку."
137,134,1857 14 января,"11/57 О растрате хлеба и рухляди по усть-курейскому магазину вахтером казаком Томиловым."
