№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
123,116,"1855 12 ноября","179/53 О взыскании хлебных недоимок с мещан г. Туруханска и о недостатке казенного имущества у бывшего смотрителя туруханского магазина Сочрейщикова и помощника отдельного заседателя Палигузова."
124,117,"1854 29 января","25/54 О производстве следствия над казаком Палигузовым о незаконном на приход хлебе в бытность его вахтером песковского магазина."
125,118,"10 июля","150/54 О растрате бывшим смотрителем Верхнеимбатского магазина Кольцовым Михайлом казенного хлеба."
