№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
79,Петр Иванов Новиковский,Частоостровской волости в с. Есаульском,Крестьянскими работами
80,Роман Алексеев Голосов,Погорельской волости в с. Устьомском,Крестьянскими работами
81,Дмитрий Степанов Никифоров,Ладейской волости в с. Ладейском,Крестьянскими работами
82,Роман Моисеев Бутенков,Заледеевской волости в д. Овсянской,Крестьянскими работами
83,Рядовые: Михайло Родионов Мартынов,Частоостровской волости в с. Есаульском,Крестьянскими работами
84,Семен Мелентьев Белянин,Сухобузимской волости в д. Хлоптуновой,Крестьянскими работами
85,Никанор Николаев Чисаев,Заледеевской волости в д. Заледеевой,Сапожным мастерством
86,Фест Никитин Вертикулов,Еловской волости в с. Кекурском,Крестьянскими работами
87,Федор Егоров Лукин (по билету Егор Федоров),Ладейской волости в д. Монастырской,Крестьянскими работами
