№ по порядку,Из каких именно полков или команд чины уволены; имена их отчества и прозвания,В каком именно городе или деревне остались на жительство,Каким образом устроили себя
301,Алексей Ефремов Баримов,Новоселовской волости в д. Ижульской,Плотническим мастерством
302,Иван Павлов Иконников,В с. Комском,Крестьянскими работами
303,№ 6 Унтер-офицеры Иван Григорьев Ленивцов,В с. Новоселовском,Хлебопашеством
304,Гаврило Кузьмин Мальцов,В с. Бараитском,Хлебопашеством
305,Рядовые Гаврило Тимофеев Чанчиков,Абаканской волости в д. Сабинской,Хлебопашеством
306,Исак Харитонов Дубинин,Тесинской волости в с. Кавказском,Хлебопашеством
307,Андрей Иванов Кузьмин,Новоселовской волости в д. Кочунской,Крестьянскими работами
308,№ 7 Унтер-офицер Павел Калинин Мелкозеров,Тесинской волости в д. Муриной,Хлебопашеством
309,№ 8 Унтер-офицер Агестин Никоноров Мухлыгин,Шушенской волости в д. Кое,Хлебопашеством
310,Барабанщик Феофан Хилевин,Абаканской волости в д. Сыдинской,Хлебопашеством
