№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
148,150,"1858 16 декабря","298/58 О злоупотреблениях вахтеров усть-курейского и карасинского магазинов Рычкова и Томилова по выдаче в долг хлеба и проч."
149,151,20,"296/58 О недостатке хлеба у вахтера мироединского магазина Перепрыгина."
150,152,"1850 19 января","12/59 Об изданных правилах относительно надзора за действиями вахтеров и за правильным ведением отчетности по казенным запасным магазинам."
