№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
170,195,1857 18 августа,По предложению господина начальника губернии от 5 августа 1857 г. за № 3062 о производстве 10-й ревизии.
171,198,1857 21 декабря,По отношению Тобольского приказа о ссыльных от 29 ноября 1857 г. № 4237 о взыскании с поселенца Наума Курынкова 100 р. 25 коп.
172,203,1858 11 марта,По донесению Ладейского волостного правления от 8 марта 1858 г. № 1071 о исключении из наличных и оклада податей поселенца Петра Ермолаева.
173,254,1859 28 ноября,По прошению поселенца Евстигнея Прокопьева о перечислении его из Туруханского края в Заледеевскую волость Красноярского округа.
