№ п/п,№ ведомости прошедшего года,Время вступления,Содержание дел,За чем остаются нерешенными
57,68,1854 г. 29 января,"О производстве следствия над казаком Полигузовым о не записанном на приход хлебе в бытность его вахтером Песковского магазина.","За неполучением сведения от II Отделения Енисейского губернского суда, затребованного от 17 октября 1867 г. и повторенного 14 декабря того же года за № 1807."
58,69,1861 г. 25 мая,"О выданном урядником Иваном Медведевым в 1845/46 г. крестьянину Тукарееву хлеба по Усть-Курейскому магазину Туруханского края.","За неполучением от Канской городской полиции и Барнаульского земского суда сведений, затребованных от первой 13 июня за № 945, и последнего 31 августа 1867 г. за № 1240, подтвержденных 13 октября за №№ 1519 и 1520."
,,,II Стола:,
59,70,1862 г. 6 марта,"О взыскании с разных лиц по долговым обязательствам денег в пользу крестьянина Томской губернии Мариинского округа Абдул-Вали Мухаметова.","После происходившей переписки и деланных со стороны Губернского правления многократных подтверждений о взыскании с разных лиц денег именно с Бухарета Мухамеданина Мусина 268 руб. и Ибрагима Юнусова 66 руб. было предписано Томскому окружному суду 16 февраля 1867 г. за № 231 и о понуждении земского суда сообщено в Томское губернское правление 6 мая за № 576, и после нескольких подтверждений вновь сообщено 31 декабря за № 1950, и крестьянина Сайфула Ильясова 213 руб. предписано Томскому земскому суду 27 марта 1862 г. за № 1054, о понуждении земского суда сообщено в Томское губернское правление 9 декабря 1866 г. за № 2547, 9 мая за № 574 и 31 декабря 1867 г. за № 1952."
