№ п/п,№ ведомости прошедшего года,Время вступления,Содержание дел
53,-,1862 г. 21 декабря,О взыскании в пользу дочери титулярного советника девицы Фон Глен с мещанина Левинсона денег.
,,,III Отделения, I Стола
54,65,1843 г. 8 марта,"О ревизии отчетности хлебного запасного капитала с 1840 по 1848 г. как Енисейскою казенною палатою, так и учрежденною комиссией для приведения в порядок дел по этому капиталу, равно и об отошедших от инородцев землях под частные промысла и о проч."
55,66,1847 г. 31 июня,О незаконной продаже рухляди бывшим туруханским отдельным заседателем Яковицким.
56,67,1847 г. 12 ноября,О взыскании хлебной недоимки с мещан города Туруханска.
